year,新北市,桃園市,新竹縣,新竹市,苗栗縣,臺中市,南投縣,彰化縣,嘉義縣,臺南市,高雄市,屏東縣,宜蘭縣,花蓮縣,臺東縣,金門縣,澎湖縣
111,1,8,1,1,1,5,3,7,1,18,11,2,3,1,5,1,1
110,7,14,3,1,11,3,6,2,9,27,20,15,6,7,10,2,1
109,1,5,6,2,3,3,9,11,10,11,6,4,1,4,7,5,1
108,1,2,3,3,1,9,2,8,4,7,2,5,3,4,1
107,1,5,3,1,2,3,1,1,7,1
106,2,2,1,4,8,1,1,4,2,3,3,1,2,2,12
105,1,3,3,2,2,4,1,2,4,1,5,2
104,1,1,1,3,3,3,1,1,1,1,6,3,2
103,10,2,1,1,1,2,1,1,1,5,2,2
102,1,4,2,4,1,2,1,1,1
101,3,3,1,1,1,1,5,4,2,2,1
100,2,1,6,2,5,2,1,1,2,2,2
99,1,1,1,2,3,2,2,2,1
98,5,3,2,1,2,3,1,1,2,1,3,1,1
97,1,1,1,1,2,1,1
