year,基隆市,臺北市,新北市,桃園市,新竹縣,新竹市,苗栗縣,臺中市,南投縣,彰化縣,雲林縣,嘉義縣,嘉義市,臺南市,高雄市,屏東縣,宜蘭縣,花蓮縣,臺東縣,金門縣,澎湖縣,連江縣
114,2,11,0,2,0,0,0,4,0,3,1,0,0,1,3,0,1,0,0,0,0,0
113,47,99,457,433,475,113,705,961,283,380,320,577,35,1207,531,583,428,320,196,9,22,7
112,16,81,359,581,430,125,857,647,331,258,334,383,8,792,577,623,308,380,338,34,20,4
111,40,92,369,467,140,28,535,585,301,244,294,482,13,906,853,584,480,285,305,16,17,3
110,27,51,476,330,398,62,704,445,534,278,222,671,29,909,1018,864,436,222,376,18,6,0
109,18,25,325,209,477,54,1011,391,287,523,409,315,12,415,866,930,130,348,475,27,16,0
108,44,28,195,74,618,46,648,227,262,366,210,214,5,347,584,645,92,347,473,17,21,1
107,9,4,175,123,434,16,342,148,95,103,78,55,4,111,480,303,101,90,257,5,7,0
106,7,7,63,87,279,33,334,177,285,60,46,43,6,101,282,198,31,254,201,24,21,2
105,1,4,50,61,205,11,381,217,192,92,114,52,2,92,301,326,36,259,233,5,11,0
104,3,4,113,68,86,15,237,128,303,96,86,60,2,43,262,209,14,232,262,5,26,0
103,10,4,85,188,91,7,147,58,125,112,66,45,1,62,199,201,37,115,100,2,6,0
102,0,4,7,16,8,5,9,7,3,39,18,22,0,21,12,35,4,9,10,1,5,2
101,0,6,13,20,7,2,9,4,11,12,11,6,0,9,26,42,4,15,9,10,17,0
100,0,4,7,32,10,0,11,17,8,99,132,137,1,131,29,75,21,18,23,10,9,1
99,0,1,5,14,6,5,10,12,10,27,27,12,0,34,15,25,12,9,3,8,1,0
98,0,0,2,54,24,4,10,14,8,55,69,25,6,54,15,66,30,9,8,4,2,0
97,0,2,1,29,14,7,10,13,11,37,40,21,1,23,9,16,20,16,19,0,4,0
96,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,3,0
95,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
94,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0
93,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
